source_id,file_name,sha256,md5,source_url
adamson_h5ad,AdamsonWeissman2016_GSM2406681_10X010.h5ad,e70fcd49808cab8d724de8d5a332940911206e1c8ef44cc7b568d048ed795c85,2fa44ea61a8dd35742af618638ec65fc,https://doi.org/10.5281/zenodo.10044268
norman_h5ad,NormanWeissman2019_filtered.h5ad,efde6f5301fe256725dce1d980f37bd96a13481a9a16135515897368e631affc,c870e6967d91c017d9da827bab183cd6,https://doi.org/10.5281/zenodo.10044268
pfizer_source_rebuild_notebook,build_adamson_2016_anndata_upr.ipynb,32c234ce81bee162b2554d85d68f899b58db9b921b04f9364825c5a084f48ad2,,https://github.com/pfizer-opensource/perturb_seq/blob/41f70980b481b9c854772cd8b8c5a4753c1c3eac/dataset_correction/build_adamson_2016_anndata_upr.ipynb
adamson_table_s1,Adamson_Cell_Table_S1_mmc1.xlsx,9b5935cb15ba2f6d60d3017832de2918e7d4f172db6f202be7999cba5feea82b,b83cef97e3187abff371cf57a233841e,https://ars.els-cdn.com/content/image/1-s2.0-S0092867416316609-mmc1.xlsx
