condition,pearson_r_left,pearson_r_right,delta_r,n_common_seeds,dataset,hvg,contrast
SRPR_pDS482,-0.20374906063079834,-0.21601590514183044,0.012266844511032104,1,adamson,200,gene_ontology - no_graph
STT3A_pDS011,0.4113002121448517,0.4077036678791046,0.0035965442657470703,1,adamson,200,gene_ontology - no_graph
TIMM23_pDS284,0.7964849472045898,0.7645076513290405,0.031977295875549316,1,adamson,200,gene_ontology - no_graph
TMEM167A_pDS038,0.6490659713745117,0.630752682685852,0.018313288688659668,1,adamson,200,gene_ontology - no_graph
TTI2_pDS408,-0.16828930377960205,-0.17383474111557007,0.005545437335968018,1,adamson,200,gene_ontology - no_graph
UFL1_pDS410,0.5602091550827026,0.5432493686676025,0.016959786415100098,1,adamson,200,gene_ontology - no_graph
UFM1_pDS040,0.5527981519699097,0.5361919403076172,0.01660621166229248,1,adamson,200,gene_ontology - no_graph
YIPF5_pDS186,0.5652390122413635,0.5447025299072266,0.020536482334136963,1,adamson,200,gene_ontology - no_graph
AMIGO3_pDS434,0.4255892038345337,0.40375590324401855,0.021833300590515137,1,adamson,200,random - no_graph
ARHGAP22_pDS458,0.2839471697807312,0.30603015422821045,-0.022082984447479248,1,adamson,200,random - no_graph
ASCC3_pDS052,0.18922866880893707,0.1463419646024704,0.042886704206466675,1,adamson,200,random - no_graph
ATP5B_pDS055,0.6718299388885498,0.6397336721420288,0.032096266746520996,1,adamson,200,random - no_graph
CAD_pDS468,-0.0972345620393753,-0.08992534875869751,-0.007309213280677795,1,adamson,200,random - no_graph
CARS_pDS460,0.8505855798721313,0.839167058467865,0.011418521404266357,1,adamson,200,random - no_graph
CCND3_pDS006,-0.11875316500663757,-0.07730050384998322,-0.04145266115665436,1,adamson,200,random - no_graph
DAD1_pDS499,0.4547623097896576,0.44803017377853394,0.006732136011123657,1,adamson,200,random - no_graph
DARS_pDS495,0.7373160719871521,0.7161422967910767,0.02117377519607544,1,adamson,200,random - no_graph
DDRGK1_pDS041,0.5710866451263428,0.5639375448226929,0.007149100303649902,1,adamson,200,random - no_graph
DERL2_pDS042,0.5753639936447144,0.6087793111801147,-0.03341531753540039,1,adamson,200,random - no_graph
DNAJC19_pDS026,0.8984905481338501,0.8739644289016724,0.024526119232177734,1,adamson,200,random - no_graph
EIF2AK3_pBA572,0.5291007161140442,0.5435066819190979,-0.014405965805053711,1,adamson,200,random - no_graph
EIF2B4_pDS491,0.852491021156311,0.8348052501678467,0.017685770988464355,1,adamson,200,random - no_graph
GMPPB_pDS391,0.22871878743171692,0.1978130042552948,0.03090578317642212,1,adamson,200,random - no_graph
GNPNAT1_pDS506,-0.13263335824012756,-0.15774065256118774,0.02510729432106018,1,adamson,200,random - no_graph
Gal4-4(mod)_pBA582,0.44506821036338806,0.48716476559638977,-0.04209655523300171,1,adamson,200,random - no_graph
HARS_pDS466,0.8384268283843994,0.8261517286300659,0.012275099754333496,1,adamson,200,random - no_graph
HSPA9_pDS088,0.7950023412704468,0.7644447684288025,0.030557572841644287,1,adamson,200,random - no_graph
HYOU1_pDS089,0.32708147168159485,0.319047212600708,0.00803425908088684,1,adamson,200,random - no_graph
IARS2_pDS090,0.8503732681274414,0.8218948841094971,0.028478384017944336,1,adamson,200,random - no_graph
IDH3A_pDS393,0.22881045937538147,0.2416689395904541,-0.012858480215072632,1,adamson,200,random - no_graph
IER3IP1_pDS002,0.5849419832229614,0.5741342306137085,0.01080775260925293,1,adamson,200,random - no_graph
IER3IP1_pDS110,0.5698611736297607,0.550879716873169,0.018981456756591797,1,adamson,200,random - no_graph
KCTD16_pDS096,0.37174034118652344,0.37609440088272095,-0.00435405969619751,1,adamson,200,random - no_graph
MRGBP_pDS124,-0.016398204490542412,-0.024568310007452965,0.008170105516910553,1,adamson,200,random - no_graph
MTHFD1_pDS395,0.1346011757850647,0.12621399760246277,0.008387178182601929,1,adamson,200,random - no_graph
OST4_pDS353,0.4888569712638855,0.4797403812408447,0.009116590023040771,1,adamson,200,random - no_graph
P4HB_pDS397,0.16007421910762787,0.1819676160812378,-0.021893396973609924,1,adamson,200,random - no_graph
PDIA6_pDS029,0.04996132850646973,0.03487929701805115,0.015082031488418579,1,adamson,200,random - no_graph
PSMD4_pDS488,-0.07665704190731049,-0.05343799293041229,-0.023219048976898193,1,adamson,200,random - no_graph
QARS_pDS510,0.8701080083847046,0.868036150932312,0.002071857452392578,1,adamson,200,random - no_graph
SAMM50_pDS156,0.7994987964630127,0.767005443572998,0.03249335289001465,1,adamson,200,random - no_graph
SEC61A1_pDS031,0.6367967128753662,0.6102681159973145,0.026528596878051758,1,adamson,200,random - no_graph
SEC61A1_pDS032,0.5705854892730713,0.5477992296218872,0.022786259651184082,1,adamson,200,random - no_graph
