dataset,hvg,graph,condition,pearson_r,pearson_seed_sd,n_seeds,spearman_rho,mse,jaccard
norman,200,no_graph,CEBPB_PTPN12,0.7050457298755646,0.0006607361441052857,2,0.5580462011550289,0.03590717725455761,0.3333333333333333
norman,200,no_graph,CSRNP1,-0.37863633036613464,0.00021018633352382855,2,-0.13886072151803797,0.0435183010995388,0.25
norman,200,no_graph,DUSP9_PRTG,0.6076368689537048,0.000652686096039705,2,0.4761936548413711,0.15003574639558792,0.48148148148148145
norman,200,no_graph,FOSB,0.28454679250717163,0.0013143916176607412,2,0.3942248556213906,0.05893581360578537,0.05263157894736842
norman,200,no_graph,FOXA3,0.6765323281288147,0.000227508688261806,2,0.5812022800570015,0.02313056029379368,0.6
norman,200,no_graph,FOXA3_FOXF1,0.6487849056720734,0.0002323555758405588,2,0.5609840246006151,0.05595399998128414,0.3333333333333333
norman,200,no_graph,FOXA3_FOXL2,0.47786128520965576,0.0001391267469344612,2,0.5977461936548414,0.37393367290496826,0.48148148148148145
norman,200,no_graph,HES7,0.940749853849411,0.0010533761848327745,2,0.5770396759918999,1.305056393146515,0.3793103448275862
norman,200,no_graph,HOXB9,0.7495760321617126,0.0008602171781073472,2,0.5751653791344784,0.01367114344611764,0.5384615384615384
norman,200,no_graph,IGDCC3_MAPK1,0.5103611052036285,0.00021010203982680674,2,0.4080979524488113,0.02436736226081848,0.2903225806451613
norman,200,no_graph,IRF1_SET,0.37263020873069763,6.553834943444021e-05,2,0.20701342533563338,0.12960591167211533,0.25
norman,200,no_graph,ISL2,0.2527344077825546,0.00020982808531148594,2,0.32124803120078005,0.02502075769007206,0.3333333333333333
norman,200,no_graph,KLF1_BAK1,0.11786660552024841,0.0008658016355350406,2,0.007971199279982001,0.06512973830103874,0.17647058823529413
norman,200,no_graph,KLF1_CLDN6,0.7196618616580963,0.0006558471096780221,2,0.552017550438761,0.08124125376343727,0.3333333333333333
norman,200,no_graph,KLF1_COL2A1,0.33395741879940033,0.0006314651578144698,2,0.5141641041026026,0.072980597615242,0.21212121212121213
norman,200,no_graph,KLF1_TGFBR2,0.3080972731113434,0.0008212313432347702,2,0.2745061126528164,0.05894739367067814,0.21212121212121213
norman,200,no_graph,LHX1,0.9201459586620331,0.0017434886823501534,2,0.5004545113627842,0.044976215809583664,0.48148148148148145
norman,200,no_graph,LHX1_ELMSAN1,0.24152297526597977,0.0007343772251659454,2,0.47042076051901305,0.210282564163208,0.3333333333333333
norman,200,no_graph,LYL1_IER5L,0.8653472661972046,0.0005865155438776014,2,0.7021848046201156,0.027806484140455723,0.7391304347826086
norman,200,no_graph,MAP2K3_IKZF3,0.5417713820934296,0.0019993200528112803,2,0.5157076426910674,0.21913059055805206,0.3333333333333333
norman,200,no_graph,MAP2K3_MAP2K6,-0.4975265711545944,9.691667815080082e-05,2,-0.19895222380559516,0.048498015850782394,0.2903225806451613
norman,200,no_graph,MAP2K6,-0.5353555679321289,0.0008956205308564982,2,-0.17928073201830047,0.04256437532603741,0.3333333333333333
norman,200,no_graph,MAP7D1,-0.007084189914166927,0.0005452274374051168,2,0.22201155028875724,0.027857905253767967,0.05263157894736842
norman,200,no_graph,MAPK1_IKZF3,0.7606427073478699,9.339741630014117e-05,2,0.644300607515188,0.08438936248421669,0.3333333333333333
norman,200,no_graph,MAPK1_PRTG,0.5556469559669495,0.0004715389411398824,2,0.40477761944048607,0.02512775082141161,0.21212121212121213
norman,200,no_graph,OSR2,0.2436010092496872,0.0004613604772245015,2,0.45149253731343286,0.0810699537396431,0.08108108108108109
norman,200,no_graph,PTPN1,0.7872279584407806,0.0014092641736587637,2,0.43248106202655073,0.029010954312980175,0.48148148148148145
norman,200,no_graph,PTPN12_SNAI1,0.6483653485774994,0.00019526634915097206,2,0.49022443944518546,0.020336306653916836,0.48148148148148145
norman,200,no_graph,SAMD1_PTPN12,0.7614917457103729,0.0026343887661734317,2,0.6210787598735755,0.06788845360279083,0.42857142857142855
norman,200,no_graph,SET,0.4753982424736023,0.000654624851071206,2,0.2255163879096978,0.05616835504770279,0.3333333333333333
norman,200,no_graph,SET_KLF1,0.4018450379371643,1.4329928493703971e-05,2,0.20444386109652746,0.06858450174331665,0.25
norman,200,no_graph,SGK1_TBX3,0.4137517809867859,0.0006604411161657094,2,0.6173096827420688,0.21805132180452347,0.48148148148148145
norman,200,no_graph,SLC4A1,0.1518554911017418,0.0012840564234450254,2,0.17780769519237982,0.06549837067723274,0.2903225806451613
norman,200,no_graph,TGFBR2_PRTG,0.716810405254364,0.0014276823464580244,2,0.4577109427735695,0.034137312322854996,0.48148148148148145
norman,200,no_graph,TP73,0.7134177088737488,0.000381428979023591,2,0.6425253131328283,0.3056311458349228,0.5384615384615384
norman,200,no_graph,UBASH3A,0.7059724926948547,0.0009033755509825027,2,0.48828264017202877,0.015139206312596798,0.42857142857142855
norman,200,no_graph,UBASH3B,0.7275257110595703,0.0004300664422051627,2,0.43442736068401716,0.012550164479762316,0.48148148148148145
norman,200,no_graph,ZBTB25,0.5782978236675262,0.0011895105055229622,2,0.34603840096002403,0.019269746728241444,0.2903225806451613
norman,200,random,AHR_FEV,0.7124408781528473,0.0034580224797733225,2,0.6774146853671343,0.16061913967132568,0.2701612903225806
norman,200,random,ARID1A,0.672813892364502,0.0018693813188521938,2,0.5926243156078903,0.06303759664297104,0.6
norman,200,random,BCL2L11,-0.009679553098976612,0.0038865229031385022,2,-0.01606390159753994,0.02599136997014284,0.08108108108108109
norman,200,random,BCORL1,0.4773772060871124,0.004003908461686422,2,0.42455277302664546,0.019309593364596367,0.25
norman,200,random,C3orf72_FOXL2,0.6317610442638397,0.0006796179322381663,2,0.4695432385809646,0.07867737859487534,0.42857142857142855
norman,200,random,CBL_PTPN12,0.5736674070358276,0.009960311827488522,2,0.38586289657241435,0.0775974877178669,0.17647058823529413
norman,200,random,CBL_TGFBR2,0.6104680001735687,0.002614242572585224,2,0.4035055876396911,0.040851911529898643,0.25
norman,200,random,CDKN1A,0.8194011449813843,0.17203155021018937,2,0.462222305557639,0.39600800909101963,0.26705653021442494
norman,200,random,CDKN1B,0.8069960176944733,0.00030046488303416355,2,0.6537247084114255,0.014441309031099081,0.3793103448275862
norman,200,random,CDKN1C,0.7395655512809753,0.00043706281905797113,2,0.5690602265056628,0.02996518649160862,0.48148148148148145
norman,200,random,CDKN1C_CDKN1A,0.4682721197605133,0.0018958073928685244,2,0.4381827045676142,0.2221989408135414,0.3333333333333333
norman,200,random,CDKN1C_CDKN1B,0.7552334070205688,0.003381863124514137,2,0.519868746718668,0.048301901668310165,0.3333333333333333
norman,200,random,CEBPB_PTPN12,0.7139690518379211,0.0013378252654327983,2,0.5656198904972625,0.03519895300269127,0.3793103448275862
norman,200,random,CSRNP1,-0.3702428936958313,0.0025127951082195023,2,-0.1376359408985225,0.04313002713024616,0.21212121212121213
norman,200,random,DUSP9_PRTG,0.5819783508777618,0.0021470869036904748,2,0.4586057151428786,0.15425993502140045,0.42857142857142855
norman,200,random,FOSB,0.3625610023736954,0.004244419452713839,2,0.42601140028500717,0.052761973813176155,0.02564102564102564
norman,200,random,FOXA3,0.6528440117835999,0.007979157066385436,2,0.5513417835445887,0.02449409570544958,0.5384615384615384
norman,200,random,FOXA3_FOXF1,0.6335607171058655,0.005401961573641288,2,0.5436705917647942,0.05762016773223877,0.2903225806451613
norman,200,random,FOXA3_FOXL2,0.46082720160484314,0.0028903887240286016,2,0.5686649666241657,0.37851986289024353,0.42857142857142855
norman,200,random,HES7,0.9272315800189972,0.060940423289841256,2,0.5354616365409136,0.6769863963127136,0.3793103448275862
norman,200,random,HOXB9,0.7544008791446686,0.003282438708876938,2,0.5883882097052427,0.013308982830494642,0.6
norman,200,random,IGDCC3_MAPK1,0.5416382551193237,0.0034735746668738427,2,0.43702992574814375,0.022351820021867752,0.3333333333333333
norman,200,random,IRF1_SET,0.3977397084236145,0.00212234670361458,2,0.2633353333833346,0.12629985064268112,0.2903225806451613
norman,200,random,ISL2,0.26349709928035736,0.001855620372813387,2,0.3025350633765845,0.02462245523929596,0.2903225806451613
norman,200,random,KLF1_BAK1,0.1154121607542038,0.0019699647728234427,2,-0.002893572339308483,0.06526362150907516,0.17647058823529413
norman,200,random,KLF1_CLDN6,0.6893952488899231,0.0037595831808687695,2,0.5386169654241357,0.08615944907069206,0.3118279569892473
